trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
130,False,"{'a': 0.07577400402284548, 'e': 0.07577400402284548}",20,12,13.86323839776909,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.07427357821433388, 'e': 0.07427357821433388}",30,22,18.570691610854304,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.07280286282743559, 'e': 0.07280286282743559}",20,15,7.867959501581205,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.07136126955638605, 'e': 0.07136126955638605}",25,13,-2.151948251422522,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
134,False,"{'a': 0.06994822174465536, 'e': 0.06994822174465536}",30,22,13.259700693378786,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.06856315415427791, 'e': 0.06856315415427791}",35,20,-25.988721899784156,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
136,False,"{'a': 0.06720551273974976, 'e': 0.06720551273974976}",30,13,31.692866156884676,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.06587475442640295, 'e': 0.06587475442640295}",20,13,13.265509143590354,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.06457034689316847, 'e': 0.06457034689316847}",20,10,0.3021372515561662,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.0632917683596407, 'e': 0.0632917683596407}",20,6,23.191692682164796,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.06203850737735829, 'e': 0.06203850737735829}",20,8,23.62378170244935,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.06081006262521795, 'e': 0.06081006262521795}",30,16,30.98176062881779,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.05960594270893937, 'e': 0.05960594270893937}",25,7,25.473638873341727,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.05842566596450083, 'e': 0.05842566596450083}",25,8,33.20407022605013,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
